address,status,street,borough,zip,cb,cwz,bbl
"86-29 COMMONWEALTH BLVD,QUEENS 11426",OK,86-29 COMMONWEALTH BOULEVARD,QUEENS,11426,413,QN4,40.730587,,-73.720162,,4086270001
"2380 MARION AVENUE,BRONX 10458",OK,2380 MARION AVENUE,BRONX,10458,205,BX1,40.858312,,-73.895583,,2030240008
"116 Dooley Street,BROOKLYN 11235",OK,116 DOOLEY STREET,BROOKLYN,11235,315,BK5,40.586248,,-73.946352,,3087800021
"575 Soundview Avenue,BRONX 10473",OK,575 SOUNDVIEW AVENUE,BRONX,10473,209,BX2,40.816875,,-73.86141,,2035230034
"2300 WESTCHESTER AVENUE,BRONX 10462",OK,2300 WESTCHESTER AVENUE,BRONX,10462,210,BX2,40.83555,,-73.848152,,2038340081
"604 WEST 227TH STREET,BRONX 10463",OK,604 WEST  227 STREET,BRONX,10463,208,BX1,40.880306,,-73.915583,,2057250763
"93 ST MARK'S PLACE,MANHATTAN 10009",OK,93 ST MARK'S PLACE,MANHATTAN,10009,103,MN2,40.727416,,-73.98485,,1004360056
"560 RIVERSIDE DRIVE,MANHATTAN 10027",OK,560 RIVERSIDE DRIVE,MANHATTAN,10027,109,MN7,40.817051,,-73.960772,,1019950063
"58 Belmont  Avenue,BROOKLYN 11212",OK,58 BELMONT AVENUE,BROOKLYN,11212,316,BK3,40.668741,,-73.908183,,3035260215
"106-06 QUEENS BOULEVARD,QUEENS 11375",OK,106-06 QUEENS BOULEVARD,QUEENS,11375,406,QN2,40.72212,,-73.847335,,4032370040
"44 EAST    2 STREET,MANHATTAN 10003",OK,44 EAST    2 STREET,MANHATTAN,10003,103,MN2,40.724836,,-73.990111,,1004440059
"114 WEST 91 STREET,MANHATTAN 10024",OK,114 WEST   91 STREET,MANHATTAN,10024,107,MN5,40.789999,,-73.970644,,1012210007
"35-50 158 STREET,QUEENS 11358",OK,35-50 158 STREET,QUEENS,11358,407,QN3,40.765374,,-73.807093,,4052730015
"556 Columbia Street,BROOKLYN 11231",OK,556 COLUMBIA STREET,BROOKLYN,11231,306,BK2,40.672944,,-74.009085,,3006010017
"127-08 MERRICK BLVD.,QUEENS 11434",OK,127-08 MERRICK BOULEVARD,QUEENS,11434,412,QN4,40.681323,,-73.764972,,4125280105
"139-76 85 DRIVE,QUEENS 11435",OK,139-76 85 DRIVE,QUEENS,11435,408,QN3,40.708943,,-73.814336,,4097100037
"1169 43RD STREET,BROOKLYN 11219",OK,1169 43 STREET,BROOKLYN,11219,312,BK4,40.640281,,-73.991741,,3055970053
"345 EAST 86TH STREET,MANHATTAN 10028",OK,345 EAST   86 STREET,MANHATTAN,10028,108,MN6,40.777218,,-73.950166,,1015490018
"148 BEACH 59 STREET,QUEENS 11692",OK,148 BEACH   59 STREET,QUEENS,11692,414,QN4,40.590448,,-73.788735,,4159260001
"1824 53 STREET,BROOKLYN 11204",OK,1824 53 STREET,BROOKLYN,11204,312,BK4,40.625584,,-73.982539,,3054800014
"992 GATES AVENUE,BROOKLYN 11221",OK,992 GATES AVENUE,BROOKLYN,11221,303,BK1,40.6893,,-73.923685,,3014800002
"109 EAST 60 STREET,MANHATTAN 10022",OK,109 EAST   60 STREET,MANHATTAN,10022,108,MN6,40.763286,,-73.96871,,1013950005
