year,borough,community_board,complaint_type,descriptors,status_cal,count,avg,avg,avg
2010,BRONX,206,Collection Truck Noise,21 Collection Truck Noise,Closed,1,,,0.00000000000000000000
2010,BRONX,206,Derelict Vehicles,Derelict Vehicles,Closed,96,,,3.5312500000000000
2010,BRONX,206,Dirty Conditions,E1 Improper Disposal,Closed,30,,,3.7666666666666667
2010,BRONX,206,Dirty Conditions,E11 Litter Surveillance,Closed,6,,,4.0000000000000000
2010,BRONX,206,Dirty Conditions,E12 Illegal Dumping Surveillance,Closed,24,,,10.4166666666666667
2010,BRONX,206,Dirty Conditions,E13 Throw-Out,Closed,2,,,1.00000000000000000000
2010,BRONX,206,Dirty Conditions,E15 Illegal Postering,Closed,203,,,2.0394088669950739
2010,BRONX,206,Dirty Conditions,E1A Litter Basket / Improper Use,Closed,2,,,2.0000000000000000
2010,BRONX,206,Dirty Conditions,E2 Receptacle Violation,Closed,6,,,2.1666666666666667
2010,BRONX,206,Dirty Conditions,E3 Dirty Sidewalk,Closed,52,,,4.6923076923076923
2010,BRONX,206,Dirty Conditions,E3A Dirty Area/Alleyway,Closed,41,,,4.0243902439024390
2010,BRONX,206,Dirty Conditions,"E4 18"" Law",Closed,9,,,4.8888888888888889
2010,BRONX,206,Dirty Conditions,E5 Loose Rubbish,Closed,6,,,3.8333333333333333
2010,BRONX,206,Dirty Conditions,E8 Canine Violation,Closed,44,,,2.4090909090909091
2010,BRONX,206,Graffiti,Graffiti,Closed,615,,,66.2845528455284553
2010,BRONX,206,Graffiti,Graffiti,Open,8,4354.8750000000000000,4438.0000000000000000,
2010,BRONX,206,Litter Basket Complaint,10 Litter Basket / Request,Closed,36,,,3.4444444444444444
2010,BRONX,206,Missed Collection,1 Missed Collection,Closed,49,,,1.7346938775510204
2010,BRONX,206,Missed Collection,1C Uncollected Xmas Trees,Closed,1,,,2.0000000000000000
2010,BRONX,206,Missed Collection,1R Missed Recycling-All Materials,Closed,17,,,1.0588235294117647
2010,BRONX,206,Missed Collection,1RB Missed Recycling - M/G/Pl,Closed,7,,,1.2857142857142857
2010,BRONX,206,Missed Collection,1RG Missed Recycling Paper,Closed,14,,,1.7142857142857143
2010,BRONX,206,Missed Collection,2 Bulk-Missed Collection,Closed,14,,,1.7142857142857143
2010,BRONX,206,Missed Collection,2R Bulk-Missed Recy Collection,Closed,4,,,0.75000000000000000000
2010,BRONX,206,Other Enforcement,E10 Obstruction (Street/Sidewalk),Closed,6,,,3.3333333333333333
2010,BRONX,206,Other Enforcement,E14 ASP/Restricted Parking,Closed,1,,,3.0000000000000000
2010,BRONX,206,Other Enforcement,E2A Storage Of Receptacles,Closed,7,,,1.2857142857142857
2010,BRONX,206,Other Enforcement,E6 Commercial Waste Disposal,Closed,7,,,3.0000000000000000
2010,BRONX,206,Other Enforcement,ECR Commercial Routing Sticker,Closed,2,,,3.5000000000000000
2010,BRONX,206,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,6,,,1.5000000000000000
