year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BROOKLYN,304,Vacant Lot,Open,5,4280.4000000000000000,,
2010,BROOKLYN,305,Derelict Vehicles,Closed,360,,,1.6750000000000000
2010,BROOKLYN,305,Dirty Conditions,Closed,610,,,4.8344262295081967
2010,BROOKLYN,305,Graffiti,Closed,241,,,64.2780082987551867
2010,BROOKLYN,305,Graffiti,Open,3,4317.0000000000000000,,
2010,BROOKLYN,305,Litter Basket Complaint,Closed,52,,,1.7692307692307692
2010,BROOKLYN,305,Missed Collection,Closed,286,,,1.3146853146853147
2010,BROOKLYN,305,Other Enforcement,Closed,90,,,3.8333333333333333
2010,BROOKLYN,305,Overflowing Litter Baskets,Closed,11,,,1.5454545454545455
2010,BROOKLYN,305,Recycling Enforcement,Closed,27,,,4.7037037037037037
2010,BROOKLYN,305,Sanitation Condition,Closed,720,,,1.2625000000000000
2010,BROOKLYN,305,snow,Closed,485,,,2.0536082474226804
2010,BROOKLYN,305,Sweeping Complaint,Closed,61,,,1.0327868852459016
2010,BROOKLYN,305,Vacant Lot,Closed,136,,,20.5661764705882353
2010,BROOKLYN,305,Vacant Lot,Open,3,4302.6666666666666667,,
2010,BROOKLYN,306,Collection Truck Noise,Closed,4,,,1.5000000000000000
2010,BROOKLYN,306,Derelict Bicycle,Closed,8,,,0.87500000000000000000
2010,BROOKLYN,306,Derelict Vehicles,Closed,84,,,1.2380952380952381
2010,BROOKLYN,306,Dirty Conditions,Closed,508,,,5.1043307086614173
2010,BROOKLYN,306,Graffiti,Closed,218,,,84.7385321100917431
2010,BROOKLYN,306,Graffiti,Open,8,4274.2500000000000000,3916.0000000000000000,
2010,BROOKLYN,306,Litter Basket Complaint,Closed,58,,,1.6034482758620690
2010,BROOKLYN,306,Missed Collection,Closed,329,,,1.4711246200607903
2010,BROOKLYN,306,Other Enforcement,Closed,120,,,4.0583333333333333
2010,BROOKLYN,306,Overflowing Litter Baskets,Closed,47,,,0.95744680851063829787
2010,BROOKLYN,306,Recycling Enforcement,Closed,29,,,5.9310344827586207
2010,BROOKLYN,306,Sanitation Condition,Closed,540,,,1.3240740740740741
2010,BROOKLYN,306,snow,Closed,228,,,5.2631578947368421
2010,BROOKLYN,306,Sweeping Complaint,Closed,29,,,1.2413793103448276
2010,BROOKLYN,306,Vacant Lot,Closed,37,,,18.4324324324324324
2010,BROOKLYN,306,Vacant Lot,Open,1,4350.0000000000000000,,
2010,BROOKLYN,307,Derelict Bicycle,Closed,2,,,1.5000000000000000
2010,BROOKLYN,307,Derelict Vehicles,Closed,110,,,0.96363636363636363636
2010,BROOKLYN,307,Dirty Conditions,Closed,384,,,5.1848958333333333
2010,BROOKLYN,307,Graffiti,Closed,345,,,71.7362318840579710
2010,BROOKLYN,307,Graffiti,Open,1,4369.0000000000000000,,
2010,BROOKLYN,307,Litter Basket Complaint,Closed,44,,,1.5909090909090909
2010,BROOKLYN,307,Missed Collection,Closed,94,,,1.0425531914893617
2010,BROOKLYN,307,Other Enforcement,Closed,64,,,4.5937500000000000
2010,BROOKLYN,307,Overflowing Litter Baskets,Closed,33,,,0.48484848484848484848
2010,BROOKLYN,307,Recycling Enforcement,Closed,18,,,6.2222222222222222
2010,BROOKLYN,307,Sanitation Condition,Closed,428,,,0.99299065420560747664
2010,BROOKLYN,307,snow,Closed,126,,,5.6746031746031746
2010,BROOKLYN,307,Sweeping Complaint,Closed,12,,,1.0833333333333333
2010,BROOKLYN,307,Vacant Lot,Closed,25,,,16.3200000000000000
2010,BROOKLYN,307,Vacant Lot,Open,2,4402.5000000000000000,,
2010,BROOKLYN,308,Adopt-A-Basket,Closed,1,,,7.0000000000000000
